title,publisher,developer
Professor Layton,Nintendo,Level-5
RollerCoaster Tycoon,Hasbro Interactive,Chris Sawyer Productions
Persona,Atlus,Atlus
SoulCalibur,Namco,Project Soul
Zuma,PopCap Games,Oberon Media
Pokemon Mystery Dungeon,Nintendo,Chunsoft
Metroid,Nintendo,Nintendo
Hitman,Eidos Interactive,IO Interactive
Mario Tennis,Nintendo,Nintendo
Deus Ex,Eidos Interactive,Ion Storm
Mass Effect,Electronic Arts,BioWare
Momotaro Dentetsu,Konami,Hudson Soft
Backyard Sports,Humongous Entertainment,Humongous Entertainment
Barbie,Hi Tech Expressions,Imagineering
Burnout,EA Sports,Criterion Games
Dead Rising,Capcom,Capcom
Famista,Namco,Namco
Gex,BMG Interactive Entertainment,Crystal Dynamics
Just Cause,Eidos Interactive,Avalanche Studios
Microsoft Flight Simulator,Microsoft,Sublogic
SpongeBob SquarePants,THQ,Vicarious Visions
Yu-Gi-Oh!,Konami,Konami
Yakuza,Sega,Sega
Castlevania,Konami,Konami
Teenage Mutant Ninja Turtles,Konami,Konami
Dynasty Warriors,KOEI,Omega Force
Imagine,Ubisoft,Ubisoft
Naruto: Ultimate Ninja Storm,Namco Bandai Games,CyberConnect2
The Lord of the Rings,Melbourne House,Beam Software
Super Robot Wars,Bandai,Banpresto
Frogger,Konami,Konami
Gundam,Bandai,Banpresto
Fable,Microsoft Game Studios,Big Blue Box
Horizon,Sony Interactive Entertainment,Guerrilla Games
Myst,Broderbund,"Cyan, Inc."
Lemmings,Psygnosis,DMA Design
Prince of Persia,Ubisoft,Broderbund
Mario Golf,Nintendo,Nintendo
Mario & Luigi,Nintendo,AlphaDream
Rayman Raving Rabbids,Ubisoft,Ubisoft
SimCity,Maxis,Maxis
Metro,THQ,4a-games
Wario,Nintendo,Nintendo
Simple,Agetec,Bandai Namco Studios
SingStar,Sony Interactive Entertainment,London Studios
Sniper Elite,Rebellion Developments,Rebellion Developments
Spyro,Sony Interactive Entertainment,Insomniac Games
Sniper: Ghost Warrior,City Interactive,CI Games
Stardew Valley,Chucklefish,ConcernedApe
Bomberman,Konami,Hudson Soft
Cooking Mama,Majesco Entertainment,Cooking Mama Limited
Jak and Daxter,Sony Interactive Entertainment,Naughty Dog
Tom Clancy's The Division,Ubisoft,Massive Entertainment
Watch Dogs,Ubisoft,Ubisoft
StarCraft,Blizzard Entertainment,Blizzard Entertainment
Left 4 Dead,Valve,Valve
SOCOM,Sony Interactive Entertainment,Zipper Interactive
Rocket League,Psyonix,Psyonix
Tomodachi,Nintendo,Nintendo
Driver,GT Interactive,Ubisoft Reflections
WarCraft,Blizzard Entertainment,Blizzard Entertainment
Star Fox,Nintendo,Nintendo
Midnight Club,Rockstar Games,Rockstar San Diego
Ace Combat,Namco,Namco
The Room,Fireproof Games,Fireproof Games
Nobunaga's Ambition,KOEI,Koei
Max Payne,Rockstar Games,Remedy Entertainment
Taiko no Tatsujin,Namco,Bandai Namco Studios
Dragon Age,Electronic Arts,BioWare
SaGa,Square Enix,Square
Age of Empires,Microsoft,Ensemble Studios
Wii Party,Nintendo,NDcube
Broken Sword,Virgin Interactive,Revolution Software
Buzz!,Sony Interactive Entertainment,Relentless Software
Ratchet & Clank,Sony Interactive Entertainment,Insomniac Games
Big Brain Academy,Nintendo,Nintendo
Dance Dance Revolution,Konami,Konami
Command & Conquer,Electronic Arts,Westwood Studios
Dying Light,Techland,Techland
James Bond,Parker Bros.,Richard Shepherd Software
Killing Floor,Tripwire Interactive,Tripwire Interactive
Marvel vs. Capcom,Capcom,Capcom
Mario & Sonic at the Olympic Games,Sega,Sega
Wii Play,Nintendo,Nintendo
MX vs. ATV,THQ Nordic,Rainbow Studios
Nintendogs,Nintendo,Nintendo
Splatoon,Nintendo,Nintendo
Pitfall,Activision,Activision
Naruto: Ultimate Ninja,Bandai Namco Entertainment,CyberConnect2
Devil May Cry,Capcom,Capcom
Farming Simulator,Astragon,Giants Software
Tales of,Namco,Bandai Namco Studios
Yoshi,Nintendo,Nintendo
Portal,Valve,Valve
Rayman,Ubisoft,Ubisoft
Tetris,The Tetris Company,Alexey Pajitnov
Puyo Puyo,Sega,Compile
Tiger Woods PGA Tour,EA Sports,EA Redwood Shores
Pokemon,Nintendo,Game Freak
Call of Duty,Activision,Infinity Ward
Batman: Arkham,Warner Bros. Interactive Entertainment,Rocksteady Studios
Jikkyo Powerful Pro Yakyu,Konami,Konami
Super Mario,Nintendo,Nintendo
Petz,PF.Magic,PF Magic
Grand Theft Auto,Rockstar Games,Rockstar North
FIFA,EA Sports,Extended Play Productions (1991-1997)
Minecraft,Mojang,Mojang
Lego,Warner Bros. Interactive Entertainment,TT Fusion
Assassin's Creed,Ubisoft,Ubisoft
The Sims,Electronic Arts,Maxis
Mario Kart,Nintendo,Nintendo
Final Fantasy,Square,Square
Luigi's Mansion,Nintendo,Nintendo
Need for Speed,Electronic Arts,EA Black Box
Tomb Raider,Eidos Interactive,Core Design
Resident Evil,Capcom,Capcom
Madden NFL,Electronic Arts,Park Place Productions
NBA 2K,2K Games,Visual Concepts
The Legend of Zelda,Nintendo,Nintendo
Wii/Nintendo Sports,Nintendo,Nintendo
Pro Evolution Soccer/eFootball,Konami,Konami
Sonic the Hedgehog,Sega,Sonic Team
Monster Hunter,Capcom,Capcom
Gran Turismo,Sony Interactive Entertainment,Polyphony Digital
Dragon Quest,Square,ArtePiazza
Halo,Microsoft Game Studios,Bungie
Battlefield,Electronic Arts,EA DICE
Borderlands,2K Games,Gearbox Software
Animal Crossing,Nintendo,Nintendo
PUBG,PUBG Corporation,PUBG Corporation
Worms,Team17,Team17
Mortal Kombat,Warner Bros. Interactive Entertainment,Avalanche Software
Super Smash Bros.,Nintendo,Nintendo
Mario Party,Nintendo,Hudson Soft
Just Dance,Ubisoft,Ubisoft
Red Dead,Rockstar Games,Rockstar San Diego
WWE 2K,2K Games,Visual Concepts
Dragon Ball,Bandai,Tose
God of War,Sony Interactive Entertainment,SIE Santa Monica Studio
Civilization,Microprose,Firaxis Games
Counter-Strike,Valve,Valve
Donkey Kong,Nintendo,Nintendo
The Oregon Trail,MECC,MECC
The Witcher,CD Projekt,CD Projekt Red Studio
Metal Gear,Konami,Konami
The Elder Scrolls,Bethesda Softworks,Bethesda Softworks
Diablo,Blizzard Entertainment,Blizzard North
Lego Batman,Warner Bros. Interactive Entertainment,TT Fusion
Everybody's Golf,Sony Interactive Entertainment,Camelot Software
Dead Island,Deep Silver,Techland
Mafia,2K Games,Illusion Softworks
Yo-kai Watch,Nintendo,Level 5
Fire Emblem,Nintendo,Intelligent Systems
Guild Wars,NCSoft,ArenaNet
Dragon Ball Xenoverse,Bandai Namco Games,Dimps Corporation
Paper Mario,Nintendo,Intelligent Systems
Rock Band,MTV Games,Harmonix
ARMA,505 Games,Bohemia Interactive
Scribblenauts,Warner Bros. Interactive Entertainment,5th Cell
Tekken,Namco,Bandai Namco Studios
Lego Star Wars,Warner Bros. Interactive Entertainment,TT Fusion
Far Cry,Ubisoft,Ubisoft
The Walking Dead: Telltale Games Series,Telltale Games,Telltale Games
Bejeweled,PopCap Games,PopCap Games
Crash Bandicoot,Sony Interactive Entertainment,Naughty Dog
Warriors,KOEI,Omega Force
Street Fighter,Capcom,Capcom
Kirby,Nintendo,HAL Laboratory
Fallout,Bethesda Softworks,Interplay Entertainment
Terraria,505 Games,Re-Logic
Uncharted,Sony Interactive Entertainment,Naughty Dog
Wii Fit,Nintendo,Nintendo
Star Wars: Battlefront,LucasArts,Pandemic Studios
Harry Potter,Electronic Arts,Griptonite Games
Total War,Sega,Creative Assembly
BioShock,2K Games,Irrational Games
Gears of War,Microsoft Game Studios,Epic Games
Spider-Man,Parker Brothers,Parker Brothers
World of WarCraft,Blizzard Entertainment,Blizzard Entertainment
Guitar Hero,Activision,Harmonix
Medal of Honor,Electronic Arts,"2015, Inc."
Mega Man,Capcom,Capcom
The Last of Us,Sony Interactive Entertainment,Naughty Dog
Kingdom Hearts,Square Enix,Square
Tom Clancy's Rainbow Six,Ubisoft,Ubisoft
Souls,Bandai Namco Entertainment,From Software
Brain Age,Nintendo,Nintendo
NBA Live,EA Sports,EA Canada
Tom Clancy's Ghost Recon,Ubisoft,Red Storm Entertainment
Dark Souls,Bandai Namco Entertainment,From Software
Football Manager,Sega,Sports Interactive
Half-life,Valve,Valve
Marvel's Spider-Man,Sony Interactive Entertainment,Insomniac Games
Saints Row,THQ,Volition
Tony Hawk's,Activision,Neversoft
Tom Clancy's Splinter Cell,Ubisoft,Ubisoft
Xeno,Square,Square
Megami Tensei,Atlus,Atlus
Monument Valley,Ustwo Games,Ustwo Games
Onimusha,Capcom,Capcom
The Settlers,Blue Byte,Blue Byte
Cuphead,Studio MDHR,Studio MDHR
Inazuma Eleven,Level 5,Level 5
Kinect Sports,Microsoft Game Studios,Rare
Moto Racer,Electronic Arts,SK Software International
The Binding of Isaac,Edmund McMillen,Edmund McMillen
Ace Attorney,Capcom,Capcom
Dead or Alive,Tecmo,Team Ninja
Romance of the Three Kingdoms,KOEI,Koei
Samurai Warriors,KOEI,Omega Force
Unreal,GT Interactive,Epic Games
Carnival Games,Global Star Software,Cat Daddy Games
NieR,Square Enix,Cavia
Payday,Daybreak Games,Overkill Software
Silent Hill,Konami,Konami Computer Entertainment Tokyo
The Experience,Ubisoft,Ubisoft
Ninja Gaiden,Tecmo,Tecmo
Magicka,Paradox Interactive,Arrowhead Game Studios
Jurassic Park,Ocean Software,Ocean Software
Crysis,Electronic Arts,Crytek
Baldur's Gate,Interplay Entertainment Corp.,BioWare
Trine,Nobilis,Frozenbyte
Ark,Studio Wildcard,Studio Wildcard
Oddworld,GT Interactive,Oddworld Inhabitants
Dragon's Dogma,Capcom,Capcom
WarioWare,Nintendo,Nintendo
DiRT,Codemasters,Codemasters
King's Quest,Sierra Online,On-Line Systems
Mana,Square,Square
Nioh,Koei Tecmo,Team Ninja
Project Gotham Racing,Sega,Bizarre Creations
Rugrats,THQ,Realtime Associates
The Legend of Heroes: Trails,Xseed Games,Falcom
"Warhammer 40,000: Dawn of War",THQ,Relic Entertainment
Clubhouse Games,Nintendo,"Agenda, C.A. Production, NDcube"
Star Wars: Knights of the Old Republic,LucasArts,BioWare
Mario Strikers,Nintendo,Next Level Games
Ben 10,D3 Publisher,High Voltage Software
Lost Planet,Capcom,Capcom
Diddy Kong Racing,Nintendo,Rare Ltd.
Elite,Imagineer,David Braben
Hatsune Miku: Project,Sega,Sega
Pikmin,Nintendo,Nintendo
Pokémon Snap,Nintendo,HAL Laboratory
Championship Manager,Domark Software,Intelek
Conflict,Gotham Games,Pivotal Games
Dead Space,Electronic Arts,EA Redwood Shores
MotorStorm,Sony Interactive Entertainment,Evolution Studios
NBA Jam,Midway,Midway
One Piece: Pirate Warriors,Bandai Namco Games,Omega Force
Mario vs. Donkey Kong,Nintendo,Nintendo Software Technology Corporation
Style Savvy,Nintendo,syn Sophia
Anno,GT Interactive,Max Design
Trials,RedLynx,RedLynx
Dishonored,Bethesda Softworks,Arkane Studios
XCOM,Microprose,Mythos Games
Chrono,Square,Square
Atelier,Koei Tecmo,Gust
Slime Rancher,Monomi Park,Monomi Park
The Forest,Endnight Games Ltd,Endnight Games Ltd
Wolfenstein,Bethesda Softworks,Muse Software
Subnautica,Unknown Worlds Entertainment,Unknown Worlds Entertainment
Ridge Racer,Namco,Namco
Rhythm Heaven,Nintendo,Nintendo
Disgaea,Atlus,Nippon Ichi Software
Asterix,Atari,Atari
Chessmaster,Software Country,Ubisoft
Close Combat,Microsoft,Atomic Games
Danganronpa,NIS America,Spike Chunsoft
F-Zero,Nintendo,Nintendo
Hyrule Warriors,Nintendo,Omega Force
Kerbal Space Program,Private Division,Squad
Tecmo Bowl,Tecmo,Tecmo
The Matrix,Infogrames,Shiny Entertainment
Torchlight,Encore,Runic Games
Darksiders,THQ,Vigil Games
Ys,Nihon Falcom Corp,Nihon Falcom
Wizardry,Sirtech,Sir-Tech
Alan Wake,Microsoft Game Studios,Remedy Entertainment
Ghosts 'n Goblins,Capcom,Capcom
Might and Magic,New World Computing,New World Computing
This War of Mine,11 bit studios,11 bit studios
You Don't Know Jack,Berkeley Systems,Berkeley Systems
Dino Crisis,Capcom,Capcom
Bayonetta,Sega,PlatinumGames
Perfect Dark,Rare,Rare
Sakura Wars,Sega,Red Entertainment
Sengoku BASARA,Capcom,Capcom
Company of Heroes,THQ,Relic Entertainment
God Eater,Bandai Namco Entertainment,Shift
Little Nightmares,Bandai Namco Entertainment,Tarsier Studios
Monster Rancher,Tecmo,Tecmo
Risk of Rain,Chucklefish,Hopoo Games
Rocksmith,Ubisoft,Ubisoft
S.T.A.L.K.E.R.,THQ,GSC Game World
The Outer Worlds,Private Division,Obsidian Entertainment
Turok,Acclaim Entertainment,Iguana Entertainment
Zombie Army,Rebellion Developments,Rebellion Developments
Divinity,CDV Software Entertainment,Larian Studios
Homefront,THQ,Kaos Studios
Okami,Capcom,Clover Studio
Army of Two,Electronic Arts,EA Montreal
A Way Out,Electronic Arts,Hazelight
Drawn to Life,THQ,5th Cell
Legacy of Kain,Crystal Dynamics,Silicon Knights
Star Ocean,Enix,tri-Ace
Spintires,IMGN PRO,Saber Interactive
Mario Baseball,Nintendo,Namco
Breath of Fire,Capcom,Capcom
Commandos,Eidos Interactive,Pyro Studios
Final Fight,Capcom,Capcom
Front Mission,Square,G-Craft
Kid Icarus,Nintendo,Nintendo
Bravely,Nintendo,Silicon Studio
Parasite Eve,Square,Square
Quake,GT Interactive,id Software
Sacred,Encore,Ascaron
Chivalry,Torn Banner Studios,Torn Banner Studios
Frogwares' Sherlock Holmes,The Adventure Company,Frogwares
Game Party,Midway Games,FarSight Studios
Gungeon,Devolver Digital,Dodge Roll
Pajama Sam,Humongous Entertainment,Humongous Entertainment
Rally Championship,Electronic Arts,Red Rat Software
Shantae,Capcom,WayForward
Syberia,Microids,Microids
Warhammer: Vermintide,Fatshark,Fatshark
Your Shape,Ubisoft,Ubisoft
Warriors Orochi,KOEI,Omega Force
Top Gun,Ocean Software,Ocean Software
Superhot,SUPERHOT Team,SUPERHOT Team
Ni no Kuni,Namco Bandai Games,Level 5
Kane & Lynch,Eidos Interactive,IO Interactive
Thief,Eidos Interactive,Looking Glass Studios
Hollow Knight,Team Cherry,Team Cherry
Valkyria Chronicles,Sega,Sega
Shovel Knight,Yacht Club Games,Yacht Club Games
Mirror's Edge,Electronic Arts,EA DICE
Dungeon Siege,Microsoft,Gas Powered Games
Comanche,NovaLogic,NUKKLEAR
Lumines,Ubisoft,Q Entertainment
Prey,Bethesda Softworks,Human Head Studios
BlazBlue,Aksys Games,Arc System Works
Sonic & Sega All-Stars Racing,Sega,Sumo Digital
CSI: Crime Scene Investigation,Ubisoft,369 Interactive
Realms of Arkania,Sirtech,Attic Entertainment Software GmbH
The Escapists,Team17,Mouldy Toof Studios
Project CARS,Bandai Namco Entertainment,Slightly Mad Studios
Deponia,Daedalic Entertainment,Daedalic Entertainment
Dragon Quest Builders,Square Enix,Square Enix
Valkyrie Profile,Enix,tri-Ace
Carmageddon,Interplay Productions,Stainless Games
Code Vein,Bandai Namco Entertainment,Bandai Namco Studios
Crusader Kings,Paradox Interactive,Paradox Development
Destroy All Humans!,THQ,Pandemic Studios
Fire Emblem Warriors,Nintendo,Omega Force
Fitness Boxing,Nintendo,Imagineer
Hidden & Dangerous,TalonSoft,Illusion Softworks
Leisure Suit Larry,Sierra Online,Sierra On-Line
Zork,Infocom,"Infocom, Inc."
Earth Defense Force,D3 Publisher,Sandlot
Manhunt,Rockstar Games,Rockstar North
Senran Kagura,Xseed Games,Tamsoft
Fatal Frame,Tecmo,Tecmo
Poker Night,Telltale Games,Telltale Games
Bloodstained,Inti Creates,Inti Creates
Amnesia,Frictional Games,Frictional Games
Digimon Story: Cyber Sleuth,Bandai Namco Entertainment,Media.Vision
Dracula: Resurrection,DreamCatcher Interactive,Index+
Heroes of Might and Magic,New World Computing,New World Computing
Runaway,Tri Synergy,Pendulo Studios
Rygar,Tecmo,Tecmo
Star Wars: Rebel Assault,LucasArts,LucasArts
Attack on Titan,Spike Chunsoft,Spike Chunsoft
1942,Capcom,Capcom
Imperivm,Strategy First,Haemimont Games
Homeworld,Sierra Studios,Relic Entertainment
The Longest Journey,Tri Synergy,Funcom
We Ski,Namco Bandai Games,Bandai Namco Studios
Red Steel,Ubisoft,Ubisoft Paris
Commando,Capcom,Capcom
Endless,Iceberg Interactive,Amplitude Studios
Jane's AH-64D Longbow,Electronic Arts,Origin Systems
Space Quest,Sierra Online,Sierra On-Line
Legend of Grimrock,Almost Human,Almost Human Games
Atelier Ryza,Koei Tecmo,Gust
Atlantis,Interplay Productions,Cryo Interactive
Beatmania,Konami,Konami
Caesar,Sierra Online,Impressions Games
Catherine,Atlus,Atlus
Don't Starve,Klei Entertainment,Klei Entertainment
Gangsters,Eidos Interactive,Hothouse Creations
Hellblade,Ninja Theory,Ninja Theory
Putt-Putt,Humongous Entertainment,Humongous Entertainment
The Incredible Machine,Sierra Online,Jeff Tunnell Productions
Toukiden,Tecmo Koei,Omega Force
Untitled Goose Game,Panic,House House
Yooka-Laylee,Team 17,Playtonic Games
Galactic Civilizations,Strategy First,Stardock
Pool of Radiance,Strategic Simulations,Strategic Simulations
Imperialism,Strategic Simulations,Frog City Software
Little Big Adventure,Electronic Arts,Adeline Software
Akiba,Acquire,Acquire
Cake Mania,Sandlot Games,Sandlot Games
Civil War General,Sierra Online,Impressions Games
Cultures,Phenomedia,Funatics Software
Egypt,Cryo Interactive,Cryo Interactive
IndyCar Racing,Papyrus,Papyrus Design Group
General,Strategic Simulations,Strategic Simulations
Ankh,bhv Software,DECK13 Interactive
fault,Sekai Project,ALICE IN DISSONANCE
Front Page Sports,Dynamix,Dynamix
Microsoft Entertainment Pack,Microsoft,Microsoft
Persona Arena,Atlus,Arc System Works
Root Letter,PQube,Kadokawa Games
Still Life,The Adventure Company,Microids
Uncle Albert,Emme Interactive,Lexis Numerique
Granblue Fantasy,Xseed Games,Cygames
Dragonlance,Strategic Simulations,Strategic Simulations
Dr. Brain,Sierra Online,Sierra On-Line
Agony,PlayWay,Madmind Studio
Gabriel Knight,Sierra Online,Sierra On-Line
God Wars,Kadokawa Games,Kadokawa Games
Eye of the Beholder,Strategic Simulations,Westwood Associates
A-10 Tank Killer,Dynamix,Dynamix
Fables & Fiends,Virgin Games,Westwood Studios
Blue Reflection,Koei Tecmo,Gust
Manhunter,Sierra Online,Evryware
Photo Kano,Kadokawa Games,Dingo
Enchanter,Infocom,"Infocom, Inc."
Phantasie,Strategic Simulations,Strategic Simulations
Super Seducer,RLR Training Inc,RLR Training Inc
Planetfall,Infocom,"Infocom, Inc."
Yomawari,NIS America,Nippon Ichi Software
Savage Frontier,Strategic Simulations,Beyond Software
Roadwar,Strategic Simulations,Strategic Simulations
Gemstone,Strategic Simulations,Paradigm Creators
PGA Tour 2K,2K Sports,HB Studios
Sly Cooper,Sony Interactive Entertainment,Sucker Punch
Super Meat Boy,Team Meat,Team Meat
